vendor_id,vendor_name,vendor_category,description,city,country,indoor_outdoor,capacity,availability,source,created_date,suggestion_sk
VND00001,مصوري الاعراس,Photographers,Photographie haut de gamme avec équipement professionnel dernière génération.,Tunis,Tunisia,Outdoor,1,Sur réservation,arabiaweddings,0033-08-18 00:00:00,1
VND00002,Anis Bouassida Photographie,Photographers,Expert en photographie de mariage avec plus de 10 ans d'expérience.,Tunis,Tunisia,Indoor,1,Limité,arabiaweddings,0033-08-18 00:00:00,2
VND00003,BC Studio,Photographers,Style photojournaliste pour des souvenirs authentiques et spontanés.,Tunis,Tunisia,Indoor,1,Limité,arabiaweddings,0033-08-18 00:00:00,3
VND00004,Exclusif Media Photographie,Photographers,Capturer vos moments précieux avec une approche artistique et émotionnelle.,Tunis,Tunisia,Les deux,1,Limité,arabiaweddings,0033-08-18 00:00:00,4
VND00005,Flash Photography,Photographers,Style photojournaliste pour des souvenirs authentiques et spontanés.,Tunis,Tunisia,Les deux,1,Disponible,arabiaweddings,0033-08-18 00:00:00,5
VND00006,Flashback Photographie,Photographers,Photographe professionnel spécialisé dans les mariages et événements. Style moderne et naturel.,Tunis,Tunisia,Indoor,1,Disponible,arabiaweddings,0033-08-18 00:00:00,6
VND00007,Jet Set Photographie,Photographers,Expert en photographie de mariage avec plus de 10 ans d'expérience.,Tunis,Tunisia,Les deux,1,Disponible,arabiaweddings,0033-08-18 00:00:00,7
VND00008,Khaled Sliti Photographe,Photographers,Photographe professionnel spécialisé dans les mariages et événements. Style moderne et naturel.,Tunis,Tunisia,Les deux,1,Limité,arabiaweddings,0033-08-18 00:00:00,8
VND00009,Labo Photo Dellia,Photographers,Style photojournaliste pour des souvenirs authentiques et spontanés.,Tunis,Tunisia,Indoor,1,Sur réservation,arabiaweddings,0033-08-18 00:00:00,9
VND00010,Labo Photo Mounir,Photographers,Style photojournaliste pour des souvenirs authentiques et spontanés.,Tunis,Tunisia,Indoor,1,Disponible,arabiaweddings,0033-08-18 00:00:00,10
